Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate
4,0,4,4,4,2704.904535,EDrightbutton,0,1,1.94,2,1,2,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
5,0,5,5,5,2708.971457,EDleftbutton,1,0,1.97,2,1,2,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
0,0,0,0,0,2712.57577,EDrightbutton,0,1,1,2,1,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
1,0,1,1,1,2717.459159,EDleftbutton,1,0,1.5,2,1,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
2,0,2,2,2,2719.818222,EDrightbutton,0,1,1.25,2,1,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
3,0,3,3,3,2724.066601,EDleftbutton,1,0,1.38,2,1,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
4,0,4,4,4,2726.668393,EDleftbutton,1,0,1.32,2,1,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
5,0,5,5,5,2728.73396,EDrightbutton,0,1,1.29,2,1,3,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
0,0,0,0,0,2730.610578,EDleftbutton,1,0,1,2,3,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
1,0,1,1,1,2737.491256,EDrightbutton,0,1,0.5,2,3,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
2,0,2,2,2,2740.014841,EDrightbutton,0,1,0.75,2,3,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
3,0,3,3,3,2742.49016,EDleftbutton,1,0,0.88,2,3,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
4,0,4,4,4,2744.489704,EDleftbutton,1,0,0.82,2,3,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
5,0,5,5,5,2746.214685,EDrightbutton,0,1,0.79,2,3,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
0,0,0,0,0,2747.830206,EDleftbutton,1,0,1,2,1,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
1,0,1,1,1,2750.796386,EDrightbutton,0,1,0.5,2,1,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
2,0,2,2,2,2754.863608,EDrightbutton,0,1,0.75,2,1,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
3,0,3,3,3,2756.395437,EDrightbutton,0,1,0.88,2,1,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
4,0,4,4,4,2758.027504,EDrightbutton,0,1,0.94,2,1,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
5,0,5,5,5,2759.393993,EDleftbutton,1,0,0.97,2,1,4,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
