Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate
F,right,Target,0,26,26,26,2869.866351,2871.86586,right,1,0,1.97,0.877064121,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
Z,left,Distractor,0,27,27,27,2873.365709,2875.365031,left,1,0,1.97,0.615174712,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
F,left,Lure,0,28,28,28,2876.865088,2878.866341,left,1,0,1.97,0.734632775,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
P,left,Distractor,0,29,29,29,2880.38156,2882.381354,left,1,0,1.97,0.436331679,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
F,left,Lure,0,30,30,30,2883.880583,2885.880556,left,1,0,1.97,0.43582449,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
R,left,Distractor,0,31,31,31,2887.380018,2889.380751,left,1,0,1.97,0.479037183,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
V,left,Distractor,0,32,32,32,2890.879348,2892.880158,left,1,0,1.97,0.506715031,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
M,left,Pretarget,0,33,33,33,2894.379082,2896.378994,left,1,0,1.97,0.469270682,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
M,right,Target,0,34,34,34,2897.87815,2899.878016,right,1,0,1.97,0.664888139,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
M,right,Target,0,35,35,35,2901.377813,2903.377667,right,1,0,1.97,0.414807137,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
D,left,Distractor,0,36,36,36,2904.877175,2906.877918,left,1,0,1.97,0.511283895,L08B02,2022-10-21_10h33.55.460,t1_Paradigm,04.01.2021,59.99341786
