Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate
H,left,Distractor,0,34,34,34,2772.094635,2774.094405,left,1,1.23595799,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
B,left,Pretarget,0,35,35,35,2775.594658,2777.59608,left,1,0.806397252,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
J,right,Target,0,36,36,36,2779.111046,2781.095855,right,1,0.714964991,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
C,right,Target,0,37,37,37,2782.611173,2784.595397,left,0,1.039116099,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
H,left,Distractor,0,38,38,38,2786.094574,2788.094383,left,1,0.964146142,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
B,right,Target,0,39,39,39,2789.594453,2791.594799,right,1,0.791739462,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
F,left,Pretarget,0,40,40,40,2793.094491,2795.095363,left,1,0.666980305,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
M,left,Distractor,0,41,41,41,2796.594439,2798.595006,left,1,0.911372195,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
W,left,Pretarget,0,42,42,42,2800.094537,2802.09484,left,1,0.803537297,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Z,left,Distractor,0,43,43,43,2803.594453,2805.595048,left,1,0.695532375,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
F,right,Target,0,44,44,44,2807.094506,2809.094699,right,1,0.84373386,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
B,left,Lure,0,45,45,45,2810.594538,2812.594502,right,0,0.799965482,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
W,right,Target,0,46,46,46,2814.094488,2816.094335,left,0,0.852066386,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
X,left,Distractor,0,47,47,47,2817.59443,2819.594855,left,1,0.90393952,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
T,left,Distractor,0,48,48,48,2821.094855,2823.094451,right,0,1.036021637,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
L,left,Pretarget,0,49,49,49,2824.594469,2826.5953,left,1,0.607307498,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
J,left,Distractor,0,50,50,50,2828.094874,2830.095415,left,1,0.675112971,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Z,left,Distractor,0,51,51,51,2831.594517,2833.594459,left,1,0.648221374,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
P,left,Pretarget,0,52,52,52,2835.09462,2837.096094,right,0,0.298387775,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
L,right,Target,0,53,53,53,2838.611044,2840.595226,left,0,0.607413362,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
V,left,Distractor,0,54,54,54,2842.094703,2844.094808,right,0,0.819992224,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
F,left,Distractor,0,55,55,55,2845.594579,2847.596586,left,1,0.901958564,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
P,right,Target,0,56,56,56,2849.111243,2851.095076,left,0,0.92324991,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
T,left,Pretarget,0,57,57,57,2852.594501,2854.59494,left,1,0.6876278,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
D,left,Distractor,0,58,58,58,2856.094933,2858.09462,left,1,0.86779309,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
V,left,Distractor,0,59,59,59,2859.59504,2861.596352,left,1,1.302154638,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
Z,left,Distractor,0,60,60,60,2863.111319,2865.111424,left,1,0.907264959,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
T,right,Target,0,61,61,61,2866.594951,2868.594893,right,1,0.86378402,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
B,left,Distractor,0,62,62,62,2870.094604,2872.09474,left,1,0.803780466,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
J,left,Distractor,0,63,63,63,2873.594544,2875.594842,left,1,0.855780959,3,3,T18R03,2022-11-03_14h40.08.948,t1_Paradigm,04.01.2021,59.99946106
