Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate
L,left,Distractor,0,54,54,54,2813.932251,2815.933328,left,1,2,3,0.673305445,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Z,right,Target,0,55,55,55,2817.432211,2819.433605,right,1,2,3,0.757275302,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
Z,left,Lure,0,56,56,56,2820.931587,2822.932315,left,1,2,3,0.92227904,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
B,left,Distractor,0,57,57,57,2824.432068,2826.433469,left,1,2,3,0.877657121,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
J,left,Distractor,0,58,58,58,2827.931816,2829.948851,left,1,2,3,0.882061408,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
X,left,Pretarget,0,59,59,59,2831.432248,2833.433475,left,1,2,3,0.757405869,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
R,left,Distractor,0,60,60,60,2834.93213,2836.934106,left,1,2,3,0.888479047,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
F,left,Distractor,0,61,61,61,2838.432471,2840.434497,left,1,2,3,0.892196818,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
X,right,Target,0,62,62,62,2841.932059,2843.934796,right,1,2,3,0.896144925,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
T,left,Distractor,0,63,63,63,2845.432186,2847.43325,left,1,2,3,0.773662497,F12E07,2022-09-02_11h59.41.925,t1_Paradigm,04.01.2021,59.9873759
